text,risk_level,age
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,47
He grabbed my wrist when I tried to leave the room. I felt panicked.,immediate_danger,39
Today was peaceful. I even went out for a walk by myself. I felt calm.,safe,25
Today was peaceful. I even went out for a walk by myself. I felt relieved.,safe,29
He was in a good mood today and we had dinner together. I felt hopeful.,safe,64
Sometimes I pretend to sleep so I don't have to talk to him. I felt anxious.,at_risk,21
He grabbed my wrist when I tried to leave the room. I felt fearful.,immediate_danger,27
I try not to upset him but I never know what will trigger him. I felt tense.,at_risk,59
He grabbed my wrist when I tried to leave the room. I felt fearful.,immediate_danger,58
Today we didn’t fight. It was a calm day and I’m thankful. I felt hopeful.,safe,46
He raised his voice again but didn’t hit me. I felt worried. We played board games together after school.,at_risk,55
He grabbed my wrist when I tried to leave the room. I felt panicked. I cooked dinner while they did homework.,immediate_danger,51
He didn’t come home until late and wouldn’t talk. I felt tense. He didn’t say anything to the children today.,at_risk,40
He said he’ll make sure I regret everything. I felt panicked. I cooked dinner while they did homework.,immediate_danger,49
Today we didn’t fight. It was a calm day and I’m thankful. I felt calm. We played board games together after school.,safe,20
"He told me if I left, he would find me. I felt panicked.",immediate_danger,53
He said he’ll make sure I regret everything. I felt terrified. I tried to keep the children quiet.,immediate_danger,55
Sometimes I pretend to sleep so I don't have to talk to him. I felt worried.,at_risk,48
He was in a good mood today and we had dinner together. I felt calm.,safe,26
He was in a good mood today and we had dinner together. I felt hopeful. My daughter stayed in her room most of the day.,safe,62
"He told me if I left, he would find me. I felt fearful.",immediate_danger,18
He grabbed my wrist when I tried to leave the room. I felt terrified.,immediate_danger,59
I locked myself in the bathroom after he yelled. I felt fearful.,immediate_danger,22
I locked myself in the bathroom after he yelled. I felt fearful.,immediate_danger,54
He grabbed my wrist when I tried to leave the room. I felt fearful. The kids seemed happy today.,immediate_danger,41
Today we didn’t fight. It was a calm day and I’m thankful. I felt calm.,safe,44
He grabbed my wrist when I tried to leave the room. I felt panicked.,immediate_danger,36
He screamed at me in front of the kids tonight. I felt panicked.,immediate_danger,24
He screamed at me in front of the kids tonight. I felt terrified.,immediate_danger,57
I locked myself in the bathroom after he yelled. I felt panicked.,immediate_danger,43
"He told me if I left, he would find me. I felt panicked.",immediate_danger,63
I feel like he’s getting more impatient lately. I felt worried.,at_risk,65
I heard him walking around the house with something heavy. I felt fearful.,immediate_danger,65
He threw my phone against the wall today. I felt panicked.,immediate_danger,46
He was in a good mood today and we had dinner together. I felt calm. The kids seemed happy today.,safe,23
It was a calm evening. Nothing alarming happened. I felt calm. We played board games together after school.,safe,38
He was in a good mood today and we had dinner together. I felt relieved. He didn’t say anything to the children today.,safe,40
We talked about our plans and no arguments came up. I felt relieved. He didn’t say anything to the children today.,safe,31
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,30
He said good morning and that felt comforting. I felt hopeful.,safe,45
He screamed at me in front of the kids tonight. I felt terrified. The kids seemed happy today.,immediate_danger,64
I slept through the night without waking up in panic. I felt calm. My daughter stayed in her room most of the day.,safe,27
He grabbed my wrist when I tried to leave the room. I felt fearful.,immediate_danger,26
I feel like he’s getting more impatient lately. I felt worried. We played board games together after school.,at_risk,65
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,47
We talked about our plans and no arguments came up. I felt relieved. The kids are starting to ask questions.,safe,51
He said good morning and that felt comforting. I felt calm.,safe,47
It was a calm evening. Nothing alarming happened. I felt calm.,safe,65
I feel like he’s getting more impatient lately. I felt worried. He didn’t say anything to the children today.,at_risk,48
He didn’t come home until late and wouldn’t talk. I felt tense.,at_risk,25
He keeps checking where I go. I feel watched. I felt anxious. I tried to keep the children quiet.,at_risk,23
He keeps checking where I go. I feel watched. I felt anxious.,at_risk,54
He screamed at me in front of the kids tonight. I felt panicked.,immediate_danger,55
I locked myself in the bathroom after he yelled. I felt panicked. My daughter stayed in her room most of the day.,immediate_danger,25
I feel like he’s getting more impatient lately. I felt worried. My daughter stayed in her room most of the day.,at_risk,65
He punched the wall again. It’s not the first time. I felt anxious. I tried to keep the children quiet.,at_risk,42
He was in a good mood today and we had dinner together. I felt calm. I tried to keep the children quiet.,safe,57
Today we didn’t fight. It was a calm day and I’m thankful. I felt hopeful.,safe,31
Today was peaceful. I even went out for a walk by myself. I felt relieved.,safe,33
I try not to upset him but I never know what will trigger him. I felt tense.,at_risk,54
He keeps checking where I go. I feel watched. I felt anxious. My daughter stayed in her room most of the day.,at_risk,54
He keeps checking where I go. I feel watched. I felt tense.,at_risk,53
Today was peaceful. I even went out for a walk by myself. I felt relieved. The kids seemed happy today.,safe,59
